targets: 3886,3887,3888,3889,3890,3891,3892,3893,3894,3895,3896,3897,3898,3899,3900,3901
                  SYSCALL      TIME IN MS      COUNT
                     read          394629      54613
                   openat            8990        200
                    futex            8147     101481
                    write             975      78129
                   unlink             170        100
                    fsync              69        100
                    close               0        300
                  madvise               0         16
------------
