targets: 3835,3836,3837,3838,3839,3840,3841,3842,3843,3844,3845,3846,3847,3848
                  SYSCALL      TIME IN MS      COUNT
                     read          376663      55128
                   openat            6637        200
                    futex            6313      81976
                    write            1026      78444
                   unlink             162        100
                    fsync             135        100
                    close               0        300
                  madvise               0         14
------------
